mjd            flux     error
2457517.231809 0.608459 0.0196664
2457517.231871 0.511433 0.0192329
2457517.231933 0.314609 0.0175485
2457517.231995 0.383023 0.0182316
2457517.232057 0.71099 0.0210963
2457517.232119 1.06009 0.0247774
2457517.232181 1.23496 0.0266967
2457517.232242 1.28474 0.0275148
2457517.232304 1.34417 0.0272077
2457517.232366 1.26231 0.0261656
2457517.232428 1.12502 0.0242132
2457517.232490 0.960909 0.022738
2457517.232552 1.01263 0.0227266
2457517.232614 1.14803 0.0240897
2457517.232676 1.36963 0.0261302
2457517.232738 1.61694 0.0305
2457517.232800 1.69179 0.0323206
2457517.232862 1.7234 0.034415
2457517.232924 1.57544 0.0343408
2457517.232986 1.50878 0.0321193
2457517.233047 1.18317 0.0259706
2457517.233109 0.983732 0.0236268
2457517.233171 0.747391 0.0191285
2457517.233233 0.552249 0.0179407
2457517.233295 0.475399 0.0173051
2457517.233357 0.626867 0.0179595
2457517.233419 0.937937 0.0205562
2457517.233481 1.23098 0.0235943
2457517.233543 1.40623 0.0263906
2457517.233605 1.41574 0.0260666
2457517.233667 1.39798 0.0267815
2457517.233729 1.32895 0.0249891
2457517.233791 1.19659 0.0233192
2457517.233852 0.920323 0.0202674
2457517.233914 0.891998 0.0207006
2457517.233976 1.19879 0.0240633
2457517.234038 1.53206 0.0285016
2457517.234100 1.71492 0.0320508
2457517.234162 1.83203 0.0337987
2457517.234224 1.7216 0.0334546
2457517.234286 1.70048 0.0301479
2457517.234348 1.61136 0.0291483
2457517.234410 1.41484 0.0268363
2457517.234472 1.0731 0.0232061
2457517.234534 0.680919 0.0203534
2457517.234596 0.595599 0.0192116
2457517.234657 0.533389 0.0183705
2457517.234719 0.686789 0.0190764
2457517.234781 0.975803 0.0215093
2457517.234843 1.28258 0.0243124
2457517.234905 1.39184 0.0257874
2457517.234967 1.47813 0.027421
2457517.235029 1.43316 0.0267091
2457517.235091 1.25272 0.0245026
2457517.235153 1.20649 0.0244411
2457517.235215 1.11342 0.023797
2457517.235277 1.10245 0.0232374
2457517.235339 1.22049 0.0245922
2457517.235400 1.49255 0.0296776
2457517.235462 1.69867 0.0338887
2457517.235524 1.75239 0.0363558
2457517.235586 1.75788 0.0360352
2457517.235648 1.65611 0.0325352
2457517.235710 1.52344 0.02909
2457517.235772 1.23491 0.0250083
2457517.235834 0.970527 0.0235441
2457517.235896 0.709332 0.021412
2457517.235958 0.546407 0.0191214
2457517.236020 0.448971 0.0182302
2457517.236082 0.607703 0.0193709
2457517.236144 0.933579 0.021634
2457517.236205 1.27923 0.0268073
2457517.236267 1.39875 0.0275731
2457517.236329 1.47525 0.0290528
2457517.236391 1.42899 0.0284339
2457517.236453 1.39166 0.0272566
2457517.236515 1.21562 0.0252236
2457517.236577 1.06836 0.0258871
2457517.236639 0.937756 0.0229603
2457517.236701 1.26978 0.0260951
2457517.236763 1.36783 0.0279868
2457517.236825 1.58917 0.0294706
2457517.236887 1.80543 0.0338828
2457517.236949 1.77654 0.0349395
2457517.237010 1.69509 0.0332433
2457517.237072 1.67014 0.0321574
2457517.237134 1.4175 0.0274002
2457517.237196 1.12285 0.0250058
2457517.237258 0.805109 0.0212665
2457517.237320 0.555217 0.0194757
2457517.237382 0.433794 0.0184126
2457517.237444 0.658278 0.019695
2457517.237506 0.899428 0.022892
2457517.237568 1.25247 0.0273463
2457517.237630 1.49499 0.0310124
2457517.237692 1.60747 0.0336242
2457517.237754 1.5423 0.0315326
2457517.237815 1.46467 0.0294224
2457517.237877 1.21521 0.0261358
2457517.237939 1.06104 0.0251446
2457517.238001 1.21021 0.0262628
2457517.238063 1.41331 0.030599
2457517.238125 1.5499 0.0325836
2457517.238187 1.78126 0.0352721
2457517.238249 1.85762 0.038108
2457517.238311 1.86431 0.0373301
2457517.238373 1.76656 0.0374034
2457517.238435 1.54453 0.0333603
2457517.238497 1.38835 0.0299648
2457517.238559 1.01626 0.0250746
2457517.238620 0.787499 0.0222462
2457517.238682 0.642494 0.0204661
2457517.238744 0.537179 0.0191515
2457517.238806 0.501123 0.0200903
2457517.238868 0.803299 0.022784
2457517.238930 1.18286 0.0260435
2457517.238992 1.31419 0.0274193
2457517.239054 1.4784 0.0296641
2457517.239116 1.42573 0.0284528
2457517.239178 1.44651 0.028957
2457517.239240 1.20278 0.0268648
2457517.239302 1.04603 0.0252869
2457517.239364 1.0358 0.0243824
2457517.239425 1.30151 0.0262555
2457517.239487 1.62524 0.0321908
2457517.239549 1.74468 0.0372757
2457517.239611 1.84748 0.0402263
2457517.239673 1.81609 0.0374288
2457517.239735 1.67526 0.034209
2457517.239797 1.59825 0.0313436
2457517.239859 1.35053 0.027534
2457517.239921 1.03515 0.0239372
2457517.239983 0.88978 0.0214118
2457517.240045 0.87124 0.0212033
2457517.240107 0.791986 0.0202229
2457517.240168 0.808513 0.0210069
2457517.240230 1.02662 0.0232093
2457517.240292 1.35902 0.0283864
2457517.240354 1.55255 0.0324962
2457517.240416 1.57419 0.0339945
2457517.240478 1.5649 0.0327455
2457517.240540 1.56784 0.032584
2457517.240602 1.41857 0.0301714
2457517.240664 1.16519 0.0252838
2457517.240726 1.18424 0.0266777
2457517.240788 1.4304 0.0323391
2457517.240850 1.68123 0.0366556
2457517.240912 1.82077 0.0385482
2457517.240973 1.79139 0.0411582
2457517.241035 1.77305 0.0464177
2457517.241097 1.66644 0.0398073
2457517.241159 1.52111 0.03508
2457517.241221 1.28579 0.0306725
2457517.241283 1.08633 0.0261478
2457517.241345 0.844653 0.025101
2457517.241407 0.668017 0.021038
2457517.241469 0.504021 0.019374
2457517.241531 0.518319 0.0197388
2457517.241593 0.770131 0.0214277
2457517.241655 1.1564 0.0271368
2457517.241717 1.43709 0.0318139
2457517.241778 1.49981 0.0356205
2457517.241840 1.61235 0.0366276
2457517.241902 1.50189 0.0371682
2457517.241964 1.53984 0.0383294
2457517.242026 1.23647 0.0299008
2457517.242088 1.24163 0.0294218
2457517.242150 1.39524 0.0378409
2457517.242212 1.47381 0.0350613
2457517.242274 1.66813 0.040269
2457517.242336 1.81247 0.0472209
2457517.242398 1.8694 0.0511449
2457517.242460 1.59144 0.035617
2457517.242522 1.3193 0.0289576
2457517.242583 1.10173 0.0260277
2457517.242645 0.843346 0.0225724
2457517.242707 0.663879 0.0204309
2457517.242769 0.717303 0.0210857
2457517.242831 0.811038 0.0214589
2457517.242893 0.886737 0.0213338
2457517.242955 0.940435 0.0243272
2457517.243017 1.20509 0.0283693
2457517.243079 1.30125 0.0283674
2457517.243141 1.36693 0.0284143
2457517.243203 1.39976 0.0294173
2457517.243265 1.45229 0.0302966
2457517.243327 1.42932 0.0301473
2457517.243388 1.18322 0.0270185
2457517.243450 1.06609 0.024573
2457517.243512 1.17834 0.0255326
2457517.243574 1.37392 0.0303915
2457517.243636 1.62946 0.0367563
2457517.243698 1.61902 0.0352096
2457517.243760 1.69951 0.0372876
2457517.243822 1.64812 0.0340807
2457517.243884 1.52496 0.0327562
2457517.243946 1.32956 0.0299709
2457517.244008 1.246 0.0300162
2457517.244070 0.933854 0.0249719
2457517.244132 0.734794 0.0211094
2457517.244193 0.672195 0.0216188
2457517.244255 0.732414 0.0232659
2457517.244317 0.982994 0.0234772
2457517.244379 1.10385 0.0271398
2457517.244441 1.31224 0.0288537
2457517.244503 1.52921 0.0333265
2457517.244565 1.56646 0.0369063
2457517.244627 1.57189 0.0335141
2457517.244689 1.47042 0.033375
2457517.244751 1.23755 0.0269354
2457517.244813 1.10325 0.0248238
2457517.244875 1.18714 0.0297902
2457517.244936 1.36219 0.0320813
2457517.244998 1.64722 0.0368292
2457517.245060 1.72 0.0390216
2457517.245122 1.82125 0.0348242
2457517.245184 1.69534 0.031278
2457517.245246 1.51795 0.0286922
2457517.245308 1.42038 0.0286385
2457517.245370 1.20331 0.0265932
2457517.245432 0.910323 0.0220128
2457517.245494 0.774242 0.0206908
2457517.245556 0.522441 0.0197654
2457517.245618 0.505448 0.0194409
2457517.245680 0.833705 0.0220237
2457517.245741 1.25227 0.029271
2457517.245803 1.50563 0.0346072
2457517.245865 1.56727 0.0314151
2457517.245927 1.57106 0.0311933
2457517.245989 1.5355 0.0311753
2457517.246051 1.34644 0.0277034
2457517.246113 1.24805 0.026787
2457517.246175 1.31359 0.0288091
2457517.246237 1.32577 0.0279372
2457517.246299 1.64247 0.0342308
2457517.246361 1.83115 0.0376491
2457517.246423 1.83175 0.0396044
2457517.246485 1.81507 0.0448223
2457517.246546 1.74402 0.0378908
2457517.246608 1.54513 0.0357153
2457517.246670 1.38712 0.0296869
2457517.246732 1.31508 0.0274048
2457517.246794 1.1099 0.0235031
2457517.246856 0.914182 0.0220076
2457517.246918 0.783673 0.0214661
2457517.246980 0.780598 0.0203731
2457517.247042 0.883751 0.021133
2457517.247104 1.14399 0.0244764
2457517.247166 1.20643 0.0257067
2457517.247228 1.3533 0.029305
2457517.247290 1.48674 0.0302624
2457517.247351 1.53066 0.0289606
2457517.247413 1.54782 0.0317765
2457517.247475 1.49694 0.0310286
2457517.247537 1.30234 0.0279249
2457517.247599 1.43791 0.029597
2457517.247661 1.62778 0.0319884
2457517.247723 1.8451 0.0396842
2457517.247785 1.84419 0.0445156
2457517.247847 1.96026 0.0425978
2457517.247909 1.91838 0.0390956
2457517.247971 1.79631 0.0357907
2457517.248033 1.68799 0.033694
2457517.248095 1.45954 0.0298474
2457517.248156 1.15834 0.0247527
2457517.248218 0.89653 0.0221185
2457517.248280 0.746279 0.0201627
2457517.248342 0.762391 0.0211867
2457517.248404 0.957785 0.0230955
2457517.248466 1.13583 0.0265222
2457517.248528 1.31187 0.0296473
2457517.248590 1.6144 0.0368031
2457517.248652 1.63004 0.034743
2457517.248714 1.47452 0.0339448
2457517.248776 1.4149 0.0302133
2457517.248838 1.276 0.029296
2457517.248900 1.25936 0.028975
2457517.248961 1.41752 0.0308731
2457517.249023 1.49075 0.0309824
2457517.249085 1.63476 0.035548
2457517.249147 1.75019 0.0381369
2457517.249209 1.87399 0.0399454
2457517.249271 1.81391 0.0372207
2457517.249333 1.63251 0.0340082
2457517.249395 1.51444 0.0322225
2457517.249457 1.53177 0.0322899
2457517.249519 1.34549 0.0286426
2457517.249581 1.009 0.0233296
2457517.249643 0.954268 0.0224572
2457517.249705 1.10356 0.0259499
2457517.249766 1.19508 0.0263232
2457517.249828 1.37704 0.0299136
2457517.249890 1.36232 0.027603
2457517.249952 1.44223 0.0312173
2457517.250014 1.60839 0.0332039
2457517.250076 1.4384 0.0277071
2457517.250138 1.49667 0.0319097
2457517.250200 1.54697 0.0346949
2457517.250262 1.5322 0.032508
2457517.250324 1.60801 0.0348764
2457517.250386 1.46144 0.0341299
2457517.250448 1.36723 0.0360878
2457517.250509 1.4571 0.0358115
2457517.250571 1.71202 0.0386682
2457517.250633 1.75408 0.0385858
2457517.250695 1.81152 0.0383589
2457517.250757 1.68952 0.0331017
2457517.250819 1.49686 0.0276403
2457517.250881 1.30159 0.0264463
2457517.250943 1.14381 0.023271
2457517.251005 1.02564 0.0223217
2457517.251067 1.2379 0.0239109
2457517.251129 1.34929 0.0268752
2457517.251191 1.30767 0.0268816
2457517.251253 1.06508 0.0243554
2457517.251314 1.2867 0.0257952
2457517.251376 1.57165 0.0311082
2457517.251438 1.7099 0.0328159
2457517.251500 1.58352 0.0300743
2457517.251562 1.50504 0.028589
2457517.251624 1.54517 0.0281425
2457517.251686 1.53432 0.0285406
2457517.251748 1.68769 0.034868
2457517.251810 1.98643 0.0395618
2457517.251872 2.00076 0.0395065
2457517.251934 2.05849 0.0399529
2457517.251996 2.08211 0.0436351
2457517.252058 1.95494 0.0368812
2457517.252119 1.70758 0.0322397
2457517.252181 1.51535 0.0289506
2457517.252243 1.31338 0.0256758
2457517.252305 1.04125 0.0229842
2457517.252367 0.972634 0.0214907
2457517.252429 1.10377 0.0220802
2457517.252491 1.1562 0.0250143
2457517.252553 1.1371 0.0256782
2457517.252615 1.30752 0.0290154
2457517.252677 1.44641 0.0273326
2457517.252739 1.60692 0.0282431
2457517.252801 1.47293 0.0293869
2457517.252863 1.52848 0.0361117
2457517.252924 1.41121 0.0295493
2457517.252986 1.32639 0.0287776
2457517.253048 1.55616 0.0302985
2457517.253110 1.71911 0.0366906
2457517.253172 1.93199 0.0389961
2457517.253234 2.12125 0.0436283
2457517.253296 2.08719 0.0418231
2457517.253358 2.05859 0.041455
2457517.253420 1.97533 0.0414418
2457517.253482 1.68501 0.0321052
2457517.253544 1.42961 0.0274315
2457517.253606 1.08025 0.023327
2457517.253668 0.844709 0.0221479
2457517.253729 0.757348 0.0208374
2457517.253791 0.763097 0.0208996
2457517.253853 0.703507 0.0213089
2457517.253915 0.891324 0.0224991
2457517.253977 1.17117 0.0272937
2457517.254039 1.44026 0.0299061
2457517.254101 1.60825 0.0318008
2457517.254163 1.70208 0.0325902
2457517.254225 1.82161 0.0338614
2457517.254287 1.67691 0.0304234
2457517.254349 1.43733 0.0277814
2457517.254411 1.24338 0.026433
2457517.254473 1.42469 0.0288489
2457517.254534 1.63581 0.0338004
2457517.254596 1.77239 0.0373901
2457517.254658 1.94057 0.0418742
2457517.254720 1.81618 0.0359403
2457517.254782 1.59249 0.0321619
2457517.254844 1.4713 0.0307152
2457517.254906 1.36021 0.0296146
2457517.254968 1.17868 0.0257657
2457517.255030 0.832288 0.0218077
2457517.255092 0.75983 0.0204321
2457517.255154 0.735738 0.0192433
2457517.255216 0.802148 0.0195108
2457517.255277 0.990951 0.0225364
2457517.255339 1.26879 0.0246523
2457517.255401 1.34347 0.0270521
2457517.255463 1.55706 0.0282426
2457517.255525 1.47725 0.0292661
2457517.255587 1.51481 0.0296425
2457517.255649 1.45442 0.028558
2457517.255711 1.27885 0.0268594
2457517.255773 1.26285 0.0261369
2457517.255835 1.27777 0.0263236
2457517.255897 1.46852 0.0313213
2457517.255959 1.67101 0.0351517
2457517.256021 1.69587 0.0341638
2457517.256082 1.79242 0.0378829
2457517.256144 1.66261 0.0340347
2457517.256206 1.55842 0.0311262
2457517.256268 1.4709 0.0299677
2457517.256330 1.28922 0.025796
2457517.256392 0.994855 0.0227276
2457517.256454 0.829224 0.0213492
2457517.256516 0.882577 0.0228686
2457517.256578 0.912958 0.0216977
2457517.256640 0.995157 0.0227964
2457517.256702 1.17167 0.0233756
2457517.256764 1.15542 0.0233616
2457517.256826 1.56317 0.0303007
2457517.256887 1.5375 0.0307508
2457517.256949 1.39364 0.0264364
2457517.257011 1.54236 0.0286988
2457517.257073 1.38699 0.0265369
2457517.257135 1.33923 0.0279388
2457517.257197 1.58294 0.029448
2457517.257259 1.74149 0.0354307
2457517.257321 1.82914 0.0359461
2457517.257383 1.87888 0.0370216
2457517.257445 1.82077 0.0344826
2457517.257507 1.57877 0.0319334
2457517.257569 1.61452 0.0306092
2457517.257631 1.64073 0.0310397
2457517.257692 1.49405 0.0297107
2457517.257754 1.15984 0.0244494
2457517.257816 0.938965 0.022169
2457517.257878 0.787012 0.0209067
2457517.257940 0.712046 0.0205196
2457517.258002 0.81578 0.0224474
2457517.258064 0.977936 0.0234272
